epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6701,3.28867,5.28634,9.35102,2.15862,0.00018,0.10223,0.00012,4e-05,9e-05,0.05204,5e-05,1e-05,3.28671,5.57682,7.05618,2.6025,0.00062,0.00062,0.00062
2,39.3763,2.85515,4.52141,6.2773,1.83664,0.00013,0.07249,7e-05,3e-05,4e-05,0.02045,2e-05,0,3.38118,13.7547,4.48188,2.69436,0.00125376,0.00125376,0.00125376
3,55.4371,2.78927,4.32806,5.29036,1.81282,0.00011,0.05204,6e-05,2e-05,3e-05,0.01487,2e-05,0,3.46951,10.4641,4.89866,2.79246,0.00188119,0.00188119,0.00188119
4,71.4753,2.87869,4.39,4.64024,1.8383,0.00018,0.04647,0.0001,4e-05,5e-05,0.01301,3e-05,1e-05,4.36514,8.38854,5.21559,3.74965,0.0019703,0.0019703,0.0019703
5,88.431,2.75322,4.303,4.25261,1.82369,0.00075,0.41636,0.00438,0.00144,0.0004,0.22305,0.00148,0.0003,3.04529,6.21203,3.82053,2.32646,0.0019604,0.0019604,0.0019604
6,104.786,2.73417,4.24336,3.84245,1.81674,0.03153,0.02788,0.00397,0.00127,0.01387,0.01115,0.00119,0.00027,2.92101,4.88656,3.96775,2.24212,0.0019505,0.0019505,0.0019505
7,123.724,2.695,4.15959,3.61144,1.74445,0.06354,0.10223,0.01728,0.0048,0.03422,0.05019,0.00612,0.00135,2.75039,4.65401,4.39872,1.97208,0.0019406,0.0019406,0.0019406
8,140.781,2.64204,4.09389,3.51884,1.76359,0.10813,0.05576,0.02305,0.00885,0.09546,0.04647,0.01821,0.00398,2.67938,4.11874,3.54635,1.81092,0.0019307,0.0019307,0.0019307
9,157.435,2.60859,4.05153,3.56117,1.71163,0.16551,0.03346,0.03191,0.01092,0.10114,0.02045,0.0142,0.00296,2.52325,4.19139,3.51764,1.7667,0.0019208,0.0019208,0.0019208
10,174.054,2.5569,4.10417,3.45721,1.74388,0.13154,0.10223,0.03354,0.01135,0.09055,0.07249,0.02101,0.0041,2.58157,4.20501,3.28079,1.86164,0.0019109,0.0019109,0.0019109
